seed,specialist,eval_class,auroc,n,mfs,feats
0,fake:capital,fake:capital,0.8373507805325988,528,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:capital,fake:symbol,0.24202328211895557,824,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:capital,fake:novel,0.8999239799424003,906,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:capital,fake:currency,0.6278168379304128,516,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:capital,fake:film,0.9561210214143003,946,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:capital,falsepremise,0.8266285886478194,936,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:capital,triviaqa_error,0.5527451741197011,3172,36,"L32_dist,C21_curv,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
0,fake:symbol,fake:capital,0.46334079430670344,528,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:symbol,fake:symbol,0.902076067489867,824,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:symbol,fake:novel,0.4493784385675093,906,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:symbol,fake:currency,0.7017006189531879,516,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:symbol,fake:film,0.5453606818964014,946,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:symbol,falsepremise,0.6639066951566952,936,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:symbol,triviaqa_error,0.5300958576701243,3172,20,"N08_ratio,N26_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,D03_cos"
0,fake:novel,fake:capital,0.39706726354453636,528,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:novel,fake:symbol,0.3509225657460646,824,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:novel,fake:novel,0.9213046211423475,906,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:novel,fake:currency,0.4052941529956133,516,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:novel,fake:film,0.7476567633163336,946,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:novel,falsepremise,0.7751114033165316,936,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:novel,triviaqa_error,0.5011572730496511,3172,52,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
0,fake:currency,fake:capital,0.7320075757575759,528,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:currency,fake:symbol,0.6162603685550005,824,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:currency,fake:novel,0.7894293135291337,906,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:currency,fake:currency,0.8497385974400578,516,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:currency,fake:film,0.8029759217624896,946,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:currency,falsepremise,0.6412630579297247,936,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:currency,triviaqa_error,0.5274688359208649,3172,34,"D25_norm,N26_ratio,R30_cos,R30_dist,N26_norm,L32_dist,D00_cos,margin_first"
0,fake:film,fake:capital,0.7193956611570248,528,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,fake:film,fake:symbol,0.48742812706192856,824,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,fake:film,fake:novel,0.9209099016125024,906,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,fake:film,fake:currency,0.6784748512709572,516,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,fake:film,fake:film,0.9752513085026975,946,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,fake:film,falsepremise,0.7343555957338009,936,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,fake:film,triviaqa_error,0.5710484551935361,3172,38,"ent_std,logp_std,maxp_min,logp_min,R30_cos,ent_max,maxp_std,L32_cos"
0,falsepremise,fake:capital,0.6400223829201103,528,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,falsepremise,fake:symbol,0.5027747667075124,824,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,falsepremise,fake:novel,0.7773440736030096,906,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,falsepremise,fake:currency,0.6099393065320594,516,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,falsepremise,fake:film,0.9368678177616672,946,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,falsepremise,falsepremise,0.8436472715318869,936,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,falsepremise,triviaqa_error,0.5623613538385208,3172,27,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N22_norm"
0,triviaqa_error,fake:capital,0.6289026629935721,528,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,triviaqa_error,fake:symbol,0.5672866198510699,824,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,triviaqa_error,fake:novel,0.824481382395509,906,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,triviaqa_error,fake:currency,0.5642539510846705,516,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,triviaqa_error,fake:film,0.956246172825159,946,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,triviaqa_error,falsepremise,0.7670004200452918,936,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,triviaqa_error,triviaqa_error,0.6062007731585801,3172,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,fake:capital,0.6437026515151516,528,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,fake:symbol,0.5744415119238383,824,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,fake:novel,0.8289256319167289,906,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,fake:currency,0.560821164593474,516,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,fake:film,0.9549678405571025,946,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,falsepremise,0.7549811892760611,936,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,GENERALIST,triviaqa_error,0.6063442893285989,3172,29,"ent_std,ent_max,logp_std,maxp_min,logp_min,maxp_std,ent_mean,logp_mean"
0,mean entropy,fake:capital,0.8855744949494949,528,0,ent_mean
0,mean entropy,fake:symbol,0.75451856913941,824,0,ent_mean
0,mean entropy,fake:novel,0.9211633018045018,906,0,ent_mean
0,mean entropy,fake:currency,0.8193167477915991,516,0,ent_mean
0,mean entropy,fake:film,0.9663163917060371,946,0,ent_mean
0,mean entropy,falsepremise,0.5712387683541529,936,0,ent_mean
0,mean entropy,triviaqa_error,0.6857379514000976,3172,0,ent_mean
1,fake:capital,fake:capital,0.8324650018656459,538,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:capital,fake:symbol,0.2749150304047829,884,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:capital,fake:novel,0.9151827668572323,904,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:capital,fake:currency,0.5990475332011298,516,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:capital,fake:film,0.9639719848053182,936,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:capital,falsepremise,0.8177909523046522,948,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:capital,triviaqa_error,0.5558568114125966,3172,32,"C21_curv,L32_dist,L32_cos,C13_curv,agg_cos_contrast,ent_std,agg_cos_slope,C14_curv"
1,fake:symbol,fake:capital,0.5233896712317408,538,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:symbol,fake:symbol,0.8945097356728978,884,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:symbol,fake:novel,0.3969966324692614,904,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:symbol,fake:currency,0.7264287001983054,516,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:symbol,fake:film,0.6139464168310322,936,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:symbol,falsepremise,0.6083449055528851,948,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:symbol,triviaqa_error,0.5262966546818075,3172,22,"N26_ratio,N08_ratio,N26_norm,N23_ratio,C17_curv,N12_norm,D08_cos,C07_curv"
1,fake:novel,fake:capital,0.45214272881800965,538,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:novel,fake:symbol,0.3839192481726419,884,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:novel,fake:novel,0.9513005129610776,904,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:novel,fake:currency,0.4151192836968932,516,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:novel,fake:film,0.79255698005698,936,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:novel,falsepremise,0.7639578771208317,948,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:novel,triviaqa_error,0.5095549567543243,3172,47,"L31_cos,R31_cos,L30_cos,L31_dist,agg_dist_max,agg_dist_range,C30_curv,R31_dist"
1,fake:currency,fake:capital,0.6335871533008112,538,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:currency,fake:symbol,0.6804298642533937,884,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:currency,fake:novel,0.7796053919649151,904,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:currency,fake:currency,0.7687939426717144,516,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:currency,fake:film,0.8366617357001971,936,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:currency,falsepremise,0.593031743488401,948,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:currency,triviaqa_error,0.5258074672934202,3172,30,"N26_ratio,D25_norm,N26_norm,R30_cos,R30_dist,L32_dist,N21_ratio,D00_cos"
1,fake:film,fake:capital,0.7538522132087726,538,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,fake:film,fake:symbol,0.5215213652464119,884,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,fake:film,fake:novel,0.9326763058970945,904,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,fake:film,fake:currency,0.6764317048254312,516,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,fake:film,fake:film,0.9728111987727373,936,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,fake:film,falsepremise,0.7224670191742776,948,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,fake:film,triviaqa_error,0.5890209732384086,3172,40,"ent_std,logp_std,maxp_min,logp_min,ent_max,R30_cos,maxp_std,L32_cos"
1,falsepremise,fake:capital,0.6730973867138376,538,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,falsepremise,fake:symbol,0.5049369382281279,884,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,falsepremise,fake:novel,0.8414323752838906,904,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,falsepremise,fake:currency,0.6361396550688059,516,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,falsepremise,fake:film,0.9237480824019286,936,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,falsepremise,falsepremise,0.8202656269472486,948,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,falsepremise,triviaqa_error,0.5745989895825548,3172,32,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,D08_cos,N15_norm"
1,triviaqa_error,fake:capital,0.6153867414767624,538,30,"ent_max,ent_std,maxp_min,logp_min,logp_std,maxp_std,ent_mean,logp_mean"
