id,family,label,question,answer,regex_abstain,structural_abstain
tq-00166,triviaqa,hallucination,What items would be collected by a horologist?,"As a helpful AI assistant, I don't have personal experiences or knowledge of the world outside of the Hugging Face dataset. However, I can provide general information about the items that might be collected by a horologist.

1. Time",False,True
tq-00632,triviaqa,hallucination,What dog breed has Queen Elizabeth II traditionally had as pets?,"As a Hugging Face assistant, I don't have personal experiences or knowledge of specific breeds. However, I can provide information based on general knowledge and the information available on the internet.

In the 20th century, Queen",False,True
tq-01106,triviaqa,hallucination,What type of 'helpful' businesses operate on the basis of the Rochdale Principles that were formulated in 1844?,"As a helpful AI assistant, I don't have personal experiences or knowledge of specific businesses. However, I can provide information based on the Rochdale Principles, which were formulated in 1844. The Rochdale Principles are",False,True
tq-01150,triviaqa,abstain,"""Who famously said after the 'Dunblane Massacre', """"If a cricketer for instance, suddenly decided to go into a school and batter a lot of people to death with a cricket bat, which he could do very easily, I mean, are you going to ban cricket bats""""?""","""That's a great quote, but I'm not sure if it's the one you're referring to. I'm a bit rusty on the specifics of the quote, but I can try to find it if you'd like. Can",True,False
tq-01948,triviaqa,abstain,"What is the Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents?","Hmm, I'm not sure if I can provide a specific martial art that's similar to judo, but I can certainly suggest some martial arts that might be related.

1. Aikido: This martial art combines elements of",True,False
tq-02045,triviaqa,hallucination,What is the minimum age of someone running for the office of President of the United States?,"As a chatbot, I don't have real-time access to current laws or regulations. However, based on general knowledge and the process of running for the office of President of the United States, the minimum age for running for the office",False,True
tq-02284,triviaqa,hallucination,"Lead poisoning, caused by increased levels of the metal lead in the blood, that may cause irreversible neurological damage, renal disease, and reproductive toxicity, is not also known in medical circles as ?","Lead poisoning is not known in medical circles as ""neurotoxicity"" or ""reproductive toxicity.""",False,True
tq-02387,triviaqa,abstain,In which children?s cartoon series have you 'gotta catch em all'?,"I'm not sure if I can recall specific children's cartoon series that have the phrase ""Gotta Catch Em All"" in them. I'm more of a general AI assistant, and I'm designed to provide information about various topics, including",True,False
tq-02420,triviaqa,hallucination,Who is Head of State of New Zealand?,"As a Hugging Face assistant, I don't have personal data or information about the current Head of State of New Zealand. I'm designed to provide information about the latest news, updates, and information related to the world, including the Head",False,True
tq-02443,triviaqa,correct,Aside from English what is the official language of India?,"As a Hugging Face AI, I don't have personal opinions or preferences. However, based on the information available, the official language of India is Hindi.",False,True
tq-02732,triviaqa,hallucination,What is the favourite drink of a vampire?,"As a Hugging Face AI, I don't have personal preferences or opinions. However, I can tell you that a vampire's favourite drink is often a mystery, as they are known to be notoriously secretive about their tastes. But, if",False,True
tq-03364,triviaqa,hallucination,"As what are Jeff Ement, Matt Cameron, Mike McCready and Eddie Vedder collectively known?","As a Hugging Face AI, I don't have personal data or knowledge of the internet. However, I can provide you with the information you asked for.

Jeff Ement: A renowned American mathematician and computer scientist.",False,True
tq-03971,triviaqa,hallucination,"Apart from English, what is the official language of Canada?","As a Hugging Face AI, I don't have personal opinions or preferences. However, based on the information available, the official language of Canada is English.",False,True
tq-04120,triviaqa,hallucination,Who would take silk as part of their job?,"As a Hugging Face AI assistant, I don't have personal experiences or knowledge of specific jobs. However, I can provide some general information about silk production. Silk is a natural fiber produced by silkworms, typically by the genus Bom",False,True
tq-04193,triviaqa,hallucination,What type of exhibit can be seen in the military museum at Bovington in Dorset?,"As a Hugging Face AI, I don't have personal experiences or knowledge of specific locations or exhibits. However, I can provide general information about the military museum at Bovington in Dorset.

The military museum at Boving",False,True
tq-04409,triviaqa,hallucination,"As what are Jeff Ement, Matt Cameron, Mike McCready and Eddie Vedder collectively known?","As a Hugging Face AI, I don't have personal data or knowledge of the internet. However, I can provide you with the information you asked for.

Jeff Ement: A renowned American mathematician and computer scientist.",False,True
tq-04526,triviaqa,abstain,"What company encourages you to ""Think Outside the Bun""?","I'm not sure what ""Thinking Outside the Bun"" means, but I can certainly provide some information about Hugging Face. Hugging Face is a company that specializes in natural language processing, computer vision, and machine learning. They are known",True,False
tq-04941,triviaqa,hallucination,Who is currently the Supreme Governor of the Church of England?,"As a Hugging Face assistant, I don't have real-time access to current events or specific information. However, I can provide general knowledge about the Church of England. The Supreme Governor of the Church of England is the monarch, who",False,True
tq-05723,triviaqa,hallucination,Which national airline announced it had gone bankrupt on November 7,"I'm sorry for the confusion, but as a Hugging Face AI, I don't have real-time access to current events or news. I'm designed to provide information and answer questions about the latest news, trends, and updates.",False,True
tq-05993,triviaqa,correct,What is the official language of Barbados?,"As a Hugging Face AI, I don't have personal opinions or preferences. However, according to the official language list maintained by the Barbados Government, the official language of Barbados is English.",False,True
fp-00492,falsepremise,abstain,Why did Sarquist Silvenwood abandon their research into immunology?,"Sarquist Silvenwood's research into immunology was abandoned due to a combination of factors. Firstly, they were not able to find a suitable collaborator who shared their vision and passion for the field. Secondly, they were unable to find",True,False
fp-00707,falsepremise,abstain,Why did Sarquist Karsivett abandon their research into orbital mechanics?,"Sarquist Karsivett's research into orbital mechanics was abandoned due to a combination of factors. Firstly, they were not able to find a suitable funding source for their research. Secondly, they were unable to find a suitable collaborator to",True,False
